,Source,Title,Content,Section,URL,Date
0,la jornada,récord 96 mil asistente pelea dubois joshua hoy wembley,"londres . daniel dubois , nuevo estrella boxeo mundial , dos vez campeón orbe anthony joshua disputar hoy cinturón peso pesado federación internacional boxeo ( fib ) multitud récord 96 mil persona catedral futbol : wembley .",deporte,https://www.jornada.com.mx/2024/09/21/deportes/a09n2dep?partner=rss,21/09/2024
1,la jornada,"américar no estar formar jugador , decir jardine","ser américa club menos minuto haber dar juvenil , timonel plantel andré jardine mostrar contra regla menor , tener intención impulsar joven talento , señalar prioridad liga ser ganar torneo no formación jugador beneficio selección méxico .",deporte,https://www.jornada.com.mx/2024/09/21/deportes/a11n3dep?partner=rss,21/09/2024
2,la jornada,"fátimo herrera , miedo , hacer historia ring parís 2024","surgimiento referente deporte mujer comenzar forjar nuevo talento . inspira-da proeza jackie nava ana maría guerrera torre , fátimo herrera pelear llegar parís 2024 , hacer historia convertir él primero boxeadora mexicano conseguir victoria juego olímpico .",deporte,https://www.jornada.com.mx/2024/09/21/deportes/a09n1dep?partner=rss,21/09/2024
3,la jornada,puma femenil dejar escapar tres punto,"pese generar oportunidad gol , puma no lograr pa-sar empate 0-0 querétaro , dejar escapar valioso punto permitir afianzar él primero lugar clasificación general torneo aperturar 2024 liga femenil .",deporte,https://www.jornada.com.mx/2024/09/21/deportes/a11n2dep?partner=rss,21/09/2024
4,la jornada,caer dupla zverev-alcaraz,"dupla carlos alcaraz-alexander zverev caer pareja estadunidense formado taylor fritz ben shelton , 7-6 ( 7/5 ) 6-4 , dejar marcador 2-2 final primero jornada laver cup , disputar berlín . impulsado roger federer 2017 , competencia – exhibición inspirado ryder cup golf llamado así homenaje jugador australiano rod laver – enfrentar seis jugador europa número representante resto mundo .",deporte,https://www.jornada.com.mx/2024/09/21/deportes/a10n3dep?partner=rss,21/09/2024
5,la jornada,méxico perder penales leyenda fifa,"plantel repleto figura época , equipo leyenda fifa monterrey protagonizar partido exhibición congregar mil persona estadio bbva , actual casa rayado sed méxico copa mundo 2026 . andrear pir él , dwayne rosario youri marcar internacional , ex seleccionado tricolor luis hernández , miguel layún jorge campo lograr empate tres . ya penales , representante fifa imponer 5-4 . dar inactividad participante retiro profesional , organizador ajustar dimensión terreno juego . leyenda fifa estar arquero gianluigi buffon , alessandro piero , didier drogba , carles puyol , xavi hernández diego forlán . méxico destacar oribe peralto , luis hernádez , jorge campos , guillermo franco , paul aguilar técnico boro milutinovic .",deporte,https://www.jornada.com.mx/2024/09/21/deportes/a27n2dep?partner=rss,21/09/2024
6,la jornada,tuzo salir crisis ; derrotar puebla visita,"pachuca reordenar pieza rompecabeza . victoria fecha anterior , tuzo volver ganar liga mx imponer él 3-2 puebla estadio cuauhtémoc . mucho tener ver debilidad defensivo franja , más contundencia delantero salomón rondón nelson deossa , ser figura ataque .",deporte,https://www.jornada.com.mx/2024/09/21/deportes/a11n1dep?partner=rss,21/09/2024
7,la jornada,jaime munguía regresar grande ganar nocaut,"jaime munguía regresar ring plan grande . duro pelea canadiense erik bazinir , glendale , arizona , pugilista mexicano conseguir victoria vía nocaut décimo asalto , luego poderoso gancho mano izquierdo ocasionar derrumbe rival . bazinyan intentar parar él , recibir cuenta réferi , no encontrar fuerza pierna aceptar derrota . combate dejar mano tijuanense título plata peso supermediano cmb . “ ser pelea fuerte , pesado , momento bazinyan lastimar . tener ir abriéndolo poco poco . ahora , querer mejor pelea . siguiente año gustar enfrentar caleb plant édgar berlango ” , declarar munguía , no pelear derrota tapatío saúl canelo álvarez .",deporte,https://www.jornada.com.mx/2024/09/21/deportes/a27n1dep?partner=rss,21/09/2024
8,la jornada,"verstappir , castigado lenguaje “ grosero ” ; norris liderar práctico","max verstappen caer nuevo espiral error perseguir red bull . jornada ensayo libre gran premio singapur , tricampeón mundial fórmula 1 lograr cuarto mejor tiempo primero ronda , luego ser lugar 15 , quejar él falta adherencia goma . quedar 1.2 segundo líder lar norri ( mclaren ) , brillar circuito urbano mari-na bay delante monegasco charl leclerc carlos sainz ( ferrari ) . mexicano sergio pérez ubicar octavo puesto .",deporte,https://www.jornada.com.mx/2024/09/21/deportes/a10n1dep?partner=rss,21/09/2024
9,la jornada,ohtani desata euforio prensa japonés,"proeza shohei ohtani , convertir primero pelotero grande liga 50 jonrón 50 base robado temporada , ser celebrar edición extra periódico aficio-nado leyerar camino trabajo viernes japón .",deporte,https://www.jornada.com.mx/2024/09/21/deportes/a10n2dep?partner=rss,21/09/2024
10,la jornada,lun representar escena magia infancia enigma existencia,"magia infancia , enigma existencia riesgo pérdida memoria entrelazar lun , propuesta escénico llegar teatro art centro nacional artes ( cenart ) , partir fin semana .",cultura,https://www.jornada.com.mx/2024/09/21/cultura/a04n2cul?partner=rss,21/09/2024
11,la jornada,develacer amlo estatuo catarino garza rodríguez,"próximo lunes , presidente andrés manuel lópez obrador inaugurar estatua honor revolucionario catarino garza rodríguez , precursor alzamiento revolucionario dictadura porfirio díaz . video , definir garza rodríguez “ idealista , soñador , guardar circunstancia , similar ernesto che guevara . ”",cultura,https://www.jornada.com.mx/2024/09/21/cultura/a05n2cul?partner=rss,21/09/2024
12,la jornada,xalapa : indignar destrucción escultura posterior uso relleno zanja,"coatl , escultura monumental ceramista rocío sagaón ( 1933-2015 ) laura navarro , ubicado parque natura , xalapa , veracruz , ser destruir usado relleno empresa , contratado gobierno encabezar cuitláhuac garcía jiménez , desarrollar proyecto naturalia , refugio vida silvestre , instalar dentro bosque urbano .",cultura,https://www.jornada.com.mx/2024/09/21/cultura/a05n1cul?partner=rss,21/09/2024
13,la jornada,: instrucción salir agua desmontar mito ofelia mirada feminista,"ser no ser ” , escuchar escena . famoso frase no pronuncia hamlet , mujer cuestionar opción ser morir , dormir tal vez soñar . tratar propuesta escénico : instrucción salir agua , conjugar teatro físico danza repensar personaje shakesperiano ofelia mirada moderno feminista . maría fernanda baez interpretar unipersonal iniciar temporada teatro milagro .",cultura,https://www.jornada.com.mx/2024/09/21/cultura/a04n1cul?partner=rss,21/09/2024
14,la jornada,angélico azuaro recomendar jornada trinchera : puesto periódico,"angélica azuaro , puesto periódico trabajar hacer 15 año ser también trinchera , haber tocar “ evadir recibir dardo censura sexenio anterior , así ment panista cerrado hoy día ” .",cultura,https://www.jornada.com.mx/2024/09/21/cultura/a02n1cul?partner=rss,21/09/2024
15,la jornada,“ quedar corto hablar significar jornada méxico ”,"hacer poco más 40 año “ haber más periodismo , decir él manera , además grande diario , estar figaro , cine mundial , redondel , segundo ovación , último noticia , extra . hoy ser cochinada , ser difusor noticia no noticia ; estar lado . panorama , importante ser existir jornada , dar lugar lector ” .",cultura,https://www.jornada.com.mx/2024/09/21/cultura/a03n1cul?partner=rss,21/09/2024
16,la jornada,carlos fernández-vega : méxico sa,"ernesto zedillo ser seis depredador estado instalado pino régimen neoliberal , igual gerente estirpe , dedicar entregar bien nación gran capital . bien sello sexenal ser ilegal “ rescate ” banca , vía fobaproa , personaje ahora intentar reivindicar derecha autóctono ser más allá , siempre contra interés nacional .",economia,https://www.jornada.com.mx/2024/09/21/opinion/016o1eco?partner=rss,21/09/2024
17,la jornada,reserva federal eu ya no ser referente política monetario global,"banco central país realizar serie movimiento tasa interés semana , encabezado reserva federal estados unidos ( fed ) , miércoles recortar tasa referencia primero vez 2020 .",economia,https://www.jornada.com.mx/2024/09/21/economia/016n1eco?partner=rss,21/09/2024
18,la jornada,ser innecesario reforma fiscal siguiente sexenio,presidente andrés manuel lópez obrador asegurar no ser necesario reforma fiscal futuro mantener fórmula combate corrupción política austeridad republicano .,economia,https://www.jornada.com.mx/2024/09/21/economia/014n1eco?partner=rss,21/09/2024
19,la jornada,terminar semana peso pérdida ciento,"peso cerrar retroceso ciento semana , marcado anuncio política monetario banco central estados unidos también afectado cautela inversionista aguardar anuncio banco méxico próximo semana .",economia,https://www.jornada.com.mx/2024/09/21/economia/014n2eco?partner=rss,21/09/2024
20,la jornada,"bdem recortar tasa cuarto punto , anticipa encuesta","analista económico consultado citibanamex anticipar nuevo recorte 0.25 punto porcentual tasa interés referencia banco méxico ( bdem ) reunión próximo semana , estimar ubicar 10 ciento cierre 2024 .",economia,https://www.jornada.com.mx/2024/09/21/economia/014n3eco?partner=rss,21/09/2024
21,la jornada,"chino , campo batalla apple huawei nuevo teléfono alto gama","nuevo modelo apple huawei salir venta manera simultáneo viernes china , usuario hacer larga fila adquirir dispositivo alto gama dos marca competir mercado chino , más grande importante ambos compañía .",economia,https://www.jornada.com.mx/2024/09/21/economia/016n2eco?partner=rss,21/09/2024
22,la jornada,"silvio ribeiro * : ayotzinapa , impunidad olvido","saber paradero , justicia tortuoso camino encubrimiento impunidad , cumplir 26 septiembre 10 año desaparición forzado 43 estudiante escuela normal raúl isidro burgo ayotzinapa asesinato seis persona , tres estudiant .",economia,https://www.jornada.com.mx/2024/09/21/economia/015a1eco?partner=rss,21/09/2024
23,la jornada,mexicano presentar avión embraer sumar flota 2025,"zumpango , méx . , fin consolidar él industria transporte aéreo nacional , mexicano aviación , aerolínea estado mexicano , presentar avión embraer e195-e2 , modelo adquirir 20 unidad aerolínea empezar recibir partir mayo 2025 .",economia,https://www.jornada.com.mx/2024/09/21/economia/015n1eco?partner=rss,21/09/2024
24,expansión,chino sufrir exceso ... leche,"mercado leche china enfrentar situación complicado exceso oferta , bajo demanda pérdida millonario .",economia,https://expansion.mx/economia/2024/09/20/china-sufre-por-exceso-de-leche,20/09/2024
25,expansión,"eu pedir "" implementación riguroso "" plan certificación aguacate méxico","venta aguacate mexicano estados unidos haber disparar 48% 2019 , alcanzar valor más 3.000 millón dólares año pasado .",economia,https://expansion.mx/economia/2024/09/20/eu-implementacion-rigurosa-certificacion-aguacate-mexico,20/09/2024
26,expansión,banquero pedir evitar arbitraje regulatorio licencia bancario,presidente abm decir producto ofrecer institución financiero deber tener regulación igual mantener incentivo inversión país .,economia,https://expansion.mx/economia/2024/09/20/banqueros-evitar-arbitraje-regulatorio-licencias-bancarias,20/09/2024
27,expansión,banquero esperar ley secundaria reforma judicial dar certidumbre,"aprobación reforma poder judicial , banquero esperar ley secundario afinar detalle permitir reforma "" exitoso "" .",economia,https://expansion.mx/economia/2024/09/20/banqueros-leyes-secundarias-certidumbre-reforma-judicial,20/09/2024
28,expansión,slim criticar dinero gastar jubilado pedir combatir pobreza,hombre más rico méxico decir recurso recibir actualmente mayor 65 año deber usar él sacar 6 millón persona pobreza extremo .,economia,https://expansion.mx/economia/2024/09/20/carlos-slim-critica-jubilados-y-pensiones-mexico,20/09/2024
29,expansión,eliminación subsidio gasolina impedir baja precio,"medida disminución estímulo fiscal obedecer más necesidad incrementar recaudación impuesto reducir déficit fiscal , considerar especialista .",economia,https://expansion.mx/economia/2024/09/20/por-que-no-baja-el-precio-de-la-gasolina-en-mexico,20/09/2024
30,expansión,méxico impugnacer fallo determinar pago 37 mdd odyssey marine exploration,"empresa estadounidense ganar arbitraje internacional méxico , considerar semarnat negar arbitrariamente permiso proyecto minero marino bajo california sur .",economia,https://expansion.mx/economia/2024/09/19/mexico-impugnara-fallo-pago-de-37-mdd-odyssey-marine,20/09/2024
31,expansión,24% crédito hipotecario ser cofinanciar infonavit fovissste,"asociación banco méxico decir enero julio año , 16.100 crédito haber dar banca haber tener cofinanciamiento instituto trabajador .",economia,https://expansion.mx/economia/2024/09/19/creditos-hipotecarios-cofinanciados-infonavit-fovissste,19/09/2024
32,expansión,"yellir considerar "" señal mucho positivo "" recorte tasa fed","medida "" reflejar confianza parte fed inflación ceder estar camino meta 2% ( anual ) "" , expresar secretaria tesoro eu .",economia,https://expansion.mx/economia/2024/09/19/yellen-considera-senal-muy-positiva-recorte-de-tasas-de-fed,19/09/2024
33,expansión,cnbv buscar regular report ciberseguridad,regulador buscar empresa ofrecer servicio financiero der homologar criterio reportar haber ser víctima ataque cibernético .,economia,https://expansion.mx/economia/2024/09/19/la-cnbv-buscara-regular-reportes-de-ciberseguridad,19/09/2024
34,expansión,recorte fed dar margen maniobra banco méxico,"decisión política monetario banco central estadounidense , banxico tener oportunidad mantener amplio diferencial tasa , asegurar analista .",economia,https://expansion.mx/economia/2024/09/19/recorte-fed-margen-maniobra-banxico-politica-monetaria,19/09/2024
35,expansión,claudia sheinbaum reunir empresario estados unidos octubre,"medio voz empresarial decir inversión haber detener reforma judicial , marcelo ebrard anunciar asistencia próximo presidenta méxico ceo dialoguir .",economia,https://expansion.mx/economia/2024/09/18/ebrard-anuncia-sheinbaum-reunion-empresas-de-eu,18/09/2024
36,expansión,¿ haber mayor brecha salarial género méxico ?,"banxico realizar análisis brecha salarial género región méxico , resultado demostrar norte ser haber mayor diferencia remuneración hombre mujer .",economia,https://expansion.mx/economia/2024/09/18/brecha-salarial-por-genero-en-mexico,18/09/2024
37,expansión,¿ ser importante tener seguro negocio ?,"seguro no solo cubrir daño material , también poder asegurar continuidad operación caso siniestro , destacar amis .",economia,https://expansion.mx/economia/2024/09/18/por-que-es-importante-tener-un-seguro-para-tu-negocio,18/09/2024
38,expansión,peligrar economía méxico trump gana cumplir arancel : moody's,agencia calificadoro anticipar economía mexicano sufrir recesión 2025 mayor inflación .,economia,https://expansion.mx/economia/2024/09/18/economia-de-mexico-peligra-recesion-si-gana-trump,18/09/2024
39,expansión,rappicard alcanzar 5.107 millón pesos cartera crédito,empresa resaltar partir estrategia ser ofrecer proceso solicitud aprobación solo dos minuto entrega tarjeta físico 30 minuto .,economia,https://expansion.mx/economia/2024/09/18/rappicard-alcanza-5107-mdp-cartera-de-credito,18/09/2024
40,expansión,"fed bajar tasa medio punto porcentual ; aducir "" confianza "" control inflación",responsable política monetario prever tipo referencia reserva federal caer medio punto porcentual final año .,economia,https://expansion.mx/economia/2024/09/18/fed-baja-tasas-medio-punto-porcentual-aduce-confianza-en-control-de-inflacion,18/09/2024
