,Source,Title,Content,Section,URL,Date
0,expansión,déficit fiscal méxico crecer 54% agosto superar billón pesos,secretaría hacienda crédito público destacar requerimiento financiero sector público sumar 1109 billón pesos .,economía,https://expansion.mx/economia/2024/09/27/deficit-fiscal-mexico-agosto,27/09/2024
1,expansión,gasolina diésel ir primero mes subsidio,"brindar menor estímulo haber permitir recaudar mayor ingreso secretaría hacienda ; enero agosto año , haber recaudar 82% más dinero iep combustible .",economía,https://expansion.mx/economia/2024/09/27/gasolinas-y-diesel-van-por-su-primer-mes-sin-subsidios,27/09/2024
2,expansión,"inversión méxico mantener , pese débil estado derecho :","banco inversión decir méxico mantener inversión , aprovechar potencial ofrecer nearshoring .",economía,https://expansion.mx/economia/2024/09/27/inversiones-en-mexico-se-mantendran-pese-a-debil-estado-de-derecho-ubs,27/09/2024
3,expansión,"yorio dejar cargo subsecretario hacienda , adelantar bloomberg news",funcionario dejar puesto ocupar secretaría hacienda crédito púbico 2019 . dependencia indicar expansión no tener información respecto .,economía,https://expansion.mx/economia/2024/09/27/el-subsecretario-de-hacienda-dejara-el-cargo-adelanta-bloomberg-news,27/09/2024
4,expansión,gasto consumidor eu aumentar agosto ; inflación desacelera,"gasto consumidor seguir apoyar él ganancia salarial aún sólido , pesar mercado laboral haber ralentizar considerablemente .",economía,https://expansion.mx/economia/2024/09/27/gasto-consumidores-eu-aumenta-agosto-inflacion-desacelera,27/09/2024
5,expansión,méxico registrar déficit comercial 4.868 mdd agosto,"exportación mexicano caer 1% importación crecer 5.7% , acuerdo inegi .",economía,https://expansion.mx/economia/2024/09/27/balanza-comercial-mexico-agosto-2024-inegi,27/09/2024
6,expansión,banxico mantener prudencia cerrar año tasa 10%,analista considerar mensaje banco central ser más laxo decisión agosto esperar haber dos recorte más 25 punto base .,economía,https://expansion.mx/economia/2024/09/27/banxico-mantendra-prudencia-y-cerrara-el-ano-con-tasa-en-10,27/09/2024
7,expansión,banxico ejecuto nuevo recorte tasa 10.5%,banco central hacer segundo recorte consecutivo tasa referencia contexto menor inflación .,economía,https://expansion.mx/economia/2024/09/26/banxico-recorta-tasa-de-referencia-segunda-ocasion,26/09/2024
8,expansión,janet yellen oponer reducir requisito capital banco,secretaria tesoro estados unidos pedir seguir trabajar sistema financiero ser resistente tiempo turbulencia .,economía,https://expansion.mx/economia/2024/09/26/yellen-se-opone-bajar-capital-bancos,26/09/2024
9,expansión,claudia sheinbaum recibir economía tocado incertidumbre,paquete 20 reforma presentar amlo febrero año amenazar limitar crecimiento potencial méxico .,economía,https://expansion.mx/economia/2024/09/26/sheinbaum-recibe-economia-incertidumbre-reformas,26/09/2024
10,expansión,búsqueda segundo empleo disparar entidad ; morelos encabezar,"méxico , dentro población subocupado , 328.971 persona estar condición búsqueda trabajo adicional , indicar cifra inegi segundo trimestre 2024 .",economía,https://expansion.mx/economia/2024/09/26/busqueda-segundo-empleo-se-dispara-varias-entidades,26/09/2024
11,expansión,ser poco probable méxico perder grado inversión : moody's,"agencia señalar mayor déficit fiscal , absorber deuda pemex bajo crecimiento sí poder impactar calidad crediticio .",economía,https://expansion.mx/economia/2024/09/25/poco-probable-mexico-pierda-grado-inversion-moodys,25/09/2024
12,expansión,revolut planear operar primero mes 2025,"juan guerra , director general firma , decir esperar arrancar operación siguiente año cuenta débito nivel 4 transferencia internacional .",economía,https://expansion.mx/economia/2024/09/25/revolut-planea-operar-en-los-primeros-meses-de-2025,25/09/2024
13,expansión,"pemex requerir 50.200 mdd tres primero año sheinbaum , prever moody's","apoyo gobierno calificación real pemex ser ca , es decir 80% incumplimiento compromiso financiero .",economía,https://expansion.mx/economia/2024/09/25/pemex-requerira-50-200-mdd-primeros-anos-sheinbaum-moodys,25/09/2024
14,expansión,condusef alerta suplantación identidad 24 financiera,veinticuatro institución debidamente constituido haber reportar suplantación identidad cometer fraude usuario .,economía,https://expansion.mx/economia/2024/09/25/condusef-alerta-por-suplantacion-de-identidad-de-financieras,25/09/2024
15,expansión,¿ abrir banco 1 octubre ? decir calendario cnbv,"1 octubre , claudia sheinbaum tomar posesión primero presidenta méxico , implicar suceso trascendencia nacional , mayoría empleado descansar .",economía,https://expansion.mx/economia/2024/09/25/abren-bancos-1-octubre-2024-calendario-cnbv,25/09/2024
16,expansión,mercado pago hacer oficial : presentar solicitud ser banco digital,cuenta digital buscar aprobación licencia bancario comisión nacional bancario valor ofrecer servicio banca múltiple .,economía,https://expansion.mx/economia/2024/09/25/mercado-pago-banco-mexico-permiso-cnbv,25/09/2024
